country,region,nuts2,forest_type,con_broad,mgmt_type,rotation_age,mai_vol_m3_ha_yr,bcef,mai_co2_tCO2_ha_yr
AT,AT12,AT12,AA,con,HP,65,6.435384615384615,0.36,5.309192307692307
AT,AT21,AT21,AA,con,HP,65,7.7215384615384615,0.35,6.193317307692307
AT,AT21,AT21,AA,con,HS,65,3.5107692307692306,0.38,3.0572948717948716
AT,AT22,AT22,AA,con,HP,65,8.58,0.35,6.881874999999998
AT,AT31,AT31,AA,con,HP,65,9.652307692307692,0.35,7.741955128205127
AT,AT32,AT32,AA,con,HP,65,7.7215384615384615,0.35,6.193317307692307
AT,AT33,AT33,AA,con,HP,65,7.7215384615384615,0.35,6.193317307692307
AT,AT33,AT33,AA,con,HS,65,4.2907692307692304,0.37,3.6382147435897427
AT,AT34,AT34,AA,con,HP,65,8.58,0.35,6.881874999999998
AT,AT11,AT11,FS,broad,HP,55,4.578181818181818,0.52,5.455666666666667
AT,AT12,AT12,FS,broad,HP,55,5.596363636363637,0.51,6.540749999999999
AT,AT12,AT12,FS,broad,HS,55,2.098181818181818,0.55,2.6445833333333333
AT,AT21,AT21,FS,broad,HP,55,5.596363636363637,0.51,6.540749999999999
AT,AT21,AT21,FS,broad,HS,55,3.8745454545454545,0.53,4.705958333333333
AT,AT22,AT22,FS,broad,HP,55,5.036363636363636,0.52,6.001666666666666
AT,AT22,AT22,FS,broad,HS,55,3.8745454545454545,0.53,4.705958333333333
AT,AT31,AT31,FS,broad,HP,55,5.036363636363636,0.52,6.001666666666666
AT,AT31,AT31,FS,broad,HS,55,3.598181818181818,0.53,4.370291666666667
AT,AT32,AT32,FS,broad,HP,55,5.596363636363637,0.51,6.540749999999999
AT,AT32,AT32,FS,broad,HS,55,2.6509090909090913,0.54,3.280500000000001
AT,AT33,AT33,FS,broad,HP,55,4.578181818181818,0.52,5.455666666666667
AT,AT33,AT33,FS,broad,HS,55,3.8745454545454545,0.53,4.705958333333333
AT,AT34,AT34,FS,broad,HP,55,3.8745454545454545,0.53,4.705958333333333
AT,AT34,AT34,FS,broad,HS,55,2.963636363636364,0.54,3.667500000000001
