country,status,forest_type,region,mgmt_type,mgmt_strategy,species group,age_class,volume,stem_biomass,bark_biomass,branches_biomass,foliage_biomass,foliage/stem ratio,total_agb,bcef
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_1,13.4,6.145495215,0.139346431,0.214041638,0.126426286,2%,6.62530957,0.49
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_2,26.8,11.68789049,0.146655627,0.246130884,0.120800098,1%,12.2014771,0.46
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_3,88,35.20497739,0.155265071,0.300108653,0.109751099,0%,35.77010221,0.41
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_4,173.8,66.17850558,0.154019234,0.318218678,0.101454357,0%,66.75219785,0.38
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_5,265.2,97.93080778,0.148636351,0.316679113,0.094917125,0%,98.49104037,0.37
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_6,348.7,126.2318021,0.142447952,0.30749913,0.089883959,0%,126.7716331,0.36
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_7,418.3,149.4403067,0.136921583,0.296984924,0.086118181,0%,149.9603314,0.36
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_8,473,167.4814998,0.13249091,0.287683426,0.083364656,0%,167.9850388,0.36
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_9,514.4,181.0346128,0.129128071,0.280269243,0.081381306,0%,181.5253914,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_10,544.9,190.9684618,0.1266577,0.274672059,0.07996948,0%,191.449761,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_11,567,198.1411149,0.1248752,0.27056716,0.07897067,0%,198.6155279,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_12,582.9,203.2889446,0.123597857,0.267595478,0.078263994,0%,203.7584019,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_13,594.1,206.9089581,0.122701024,0.265495302,0.077771988,0%,207.3749264,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_14,602.1,209.4916453,0.122062037,0.26399245,0.077423408,0%,209.9551232,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_15,607.7,211.2980428,0.121615583,0.262939357,0.077180793,0%,211.7597785,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_16,611.6,212.5553554,0.121305081,0.262205505,0.077012497,0%,213.0158785,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_17,614.3,213.4254615,0.121090325,0.261697265,0.076896303,0%,213.8851454,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_18,616.3,214.0698056,0.120931357,0.261320701,0.076810401,0%,214.5288681,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_19,617.6,214.4885478,0.120828078,0.261075897,0.076754641,0%,214.9472064,0.35
AT,ForAWS,AA,AT12,HP,E,con,AgeCL_20,618.5,214.7784087,0.120756602,0.260906402,0.076716073,0%,215.2367878,0.35
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_1,16.1,7.286035447,0.141342039,0.222312259,0.124960791,2%,7.774650536,0.48
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_2,32.2,13.85704185,0.148434185,0.254896045,0.119249428,1%,14.37962151,0.45
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_3,105.5,41.65395326,0.155600181,0.306606003,0.107745408,0%,42.22390485,0.40
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_4,208.5,78.34924489,0.152246312,0.319163246,0.098800111,0%,78.91945456,0.38
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_5,318.2,115.9584647,0.144787132,0.311405989,0.091646816,0%,116.5063046,0.37
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_6,418.4,149.4734389,0.136913525,0.296968597,0.086112995,0%,149.993434,0.36
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_7,501.9,176.9511345,0.130142847,0.28253356,0.081971712,0%,177.4457826,0.35
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_8,567.6,198.3355611,0.124826916,0.270455267,0.078943825,0%,198.8097871,0.35
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_9,617.3,214.3919206,0.120851908,0.261132393,0.076767503,0%,214.8506724,0.35
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_10,653.9,226.1557931,0.117961418,0.254234516,0.07522123,0%,226.6032103,0.35
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_11,680.4,234.6434038,0.115891358,0.249244465,0.074129442,0%,235.0826691,0.35
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_12,699.4,240.7140507,0.11441995,0.245675655,0.073360328,0%,241.1475066,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_13,712.9,245.0201167,0.113381278,0.243146625,0.072820568,0%,245.4494652,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_14,722.5,248.0786022,0.112646206,0.241352302,0.072440055,0%,248.5050408,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_15,729.2,250.2114208,0.112134963,0.240102262,0.072176096,0%,250.6358341,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_16,733.9,251.7067276,0.111777211,0.239226549,0.071991711,0%,252.1297231,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_17,737.2,252.7562083,0.111526462,0.238612293,0.07186263,0%,253.1782097,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_18,739.5,253.4874629,0.111351912,0.23818448,0.07177285,0%,253.9087721,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_19,741.1,253.9960643,0.111230591,0.237887021,0.071710484,0%,254.4168924,0.34
AT,ForAWS,AA,AT21,HP,E,con,AgeCL_20,742.2,254.3456815,0.111147232,0.237682591,0.071667649,0%,254.766179,0.34
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_1,7.3,3.498823085,0.132640265,0.188229295,0.131225257,4%,3.950917902,0.54
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_2,14.6,6.654282465,0.140282227,0.217881405,0.125743048,2%,7.138189145,0.49
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_3,48,20.06644497,0.151882445,0.273848378,0.115725964,1%,20.60790176,0.43
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_4,94.8,37.72101102,0.155450077,0.302883219,0.10894293,0%,38.28828725,0.40
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_5,144.6,55.79994906,0.155100803,0.31526199,0.103923966,0%,56.37423582,0.39
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_6,190.2,71.95072112,0.153235335,0.318958184,0.100167647,0%,72.52308229,0.38
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_7,228.2,85.19190023,0.151072649,0.318773231,0.097396294,0%,85.7591424,0.38
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_8,258,95.4625893,0.149130176,0.317206557,0.095385291,0%,96.02431132,0.37
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_9,280.6,103.193914,0.147553639,0.31538365,0.093936378,0%,103.7507877,0.37
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_10,297.2,108.8437206,0.146351371,0.313757946,0.092908287,0%,109.3967382,0.37
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_11,309.3,112.9474647,0.145455382,0.31244002,0.092176373,0%,113.4975365,0.37
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_12,317.9,115.8570708,0.144809775,0.311441689,0.091664549,0%,116.4049868,0.37
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_13,324.1,117.9511432,0.144340236,0.310692397,0.091299684,0%,118.4974755,0.37
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_14,328.4,119.4017735,0.144012708,0.310158897,0.091048599,0%,119.9469937,0.37
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_15,331.4,120.4130239,0.143783334,0.309780216,0.090874356,0%,120.9574618,0.36
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_16,333.6,121.1541849,0.14361469,0.309499218,0.090747059,0%,121.6980459,0.36
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_17,335.1,121.6593185,0.143499499,0.309306057,0.090660495,0%,122.2027846,0.36
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_18,336.1,121.995983,0.143422614,0.309176583,0.090602889,0%,122.5391851,0.36
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_19,336.9,122.2652623,0.143361053,0.309072605,0.090556864,0%,122.8082528,0.36
AT,ForAWS,AA,AT21,HS,E,con,AgeCL_20,337.4,122.4335382,0.143322555,0.30900744,0.090528124,0%,122.9763963,0.36
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_1,17.9,8.038545598,0.142479641,0.227172804,0.124108461,2%,8.532306504,0.48
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_2,35.8,15.28821312,0.149413046,0.259962426,0.118336581,1%,15.81592517,0.44
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_3,117.3,45.95782714,0.155600358,0.309942247,0.106511883,0%,46.52988163,0.40
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_4,231.7,86.40301018,0.150854047,0.318645918,0.097153488,0%,86.96966363,0.38
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_5,353.5,127.8425051,0.142073974,0.306838693,0.089613355,0%,128.3810311,0.36
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_6,464.9,164.8199439,0.133148848,0.289101708,0.083762385,0%,165.3259568,0.36
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_7,557.7,195.1252781,0.125624379,0.272298674,0.07938859,0%,195.6025897,0.35
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_8,630.7,218.7046345,0.11978965,0.258607744,0.076196057,0%,219.159228,0.35
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_9,685.8,236.3699826,0.115472053,0.248229208,0.073909711,0%,236.8075936,0.35
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_10,726.5,249.3520986,0.112340809,0.240605777,0.072282309,0%,249.7773275,0.34
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_11,756,258.7286125,0.110104939,0.235123144,0.071133185,0%,259.1449738,0.34
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_12,777.1,265.4188675,0.108523951,0.231230038,0.070326242,0%,265.8289477,0.34
AT,ForAWS,AA,AT22,HP,E,con,AgeCL_13,792.1,270.1669388,0.107409529,0.228478778,0.069759941,0%,270.572587,0.34
