country	status	forest_type	region	mgmt_type	mgmt_strategy	con_broad	a	b	a_nonmerch	b_nonmerch	k_nonmerch	cap_nonmerch	a_sap	b_sap	k_sap	cap_sap	a1	a2	a3	b1	b2	b3	c1	c2	c3	min_volume	max_volume	low_stemwood_prop	high_stemwood_prop	low_stembark_prop	high_stembark_prop	low_branches_prop	high_branches_prop	low_foliage_prop	high_foliage_prop	
AT	ForAWS	AA	AT12	HP	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT21	HP	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT21	HS	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT22	HP	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT31	HP	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT32	HP	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT33	HP	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT33	HS	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	AA	AT34	HP	E	con	0.553687607	0.92741339	1.925001703	-0.134691417	1e-08	1.503845763	1	0	0	1	-2.191696	-0.0008019	0.0892588	-2.104386	-0.0010815	0.2224419	-1.914818	-0.0004668	-0.0566506	15.62	454.22	0.665417129	0.662230542	0.096188797	0.088836106	0.156382109	0.193147275	0.082011966	0.055786078	
AT	ForAWS	FS	AT11	HP	E	broad	0.771243145	0.928233172	38.36603919	-1.524917241	1.010642298	2.166666612	1	0	0	1	-1.768781	-0.0007156	-0.0065169	-1.741976	-0.0005439	0.1304487	-3.106386	-0.0024275	0.0654923	11.31	296.21	0.680738977	0.676326138	0.113081722	0.089902821	0.170585271	0.212335355	0.035594029	0.021435686	
