country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,AgeCL_1,AgeCL_2,AgeCL_3,AgeCL_4,AgeCL_5,AgeCL_6,AgeCL_7,AgeCL_8,AgeCL_9,AgeCL_10,AgeCL_11,AgeCL_12,AgeCL_13,AgeCL_14,AgeCL_15,AgeCL_16,AgeCL_17,AgeCL_18,AgeCL_19,AgeCL_20
AT,ForAWS,AA,AT12,HP,E,con,3.1,13.6,21.8,24.8,24.2,21.6,18.2,14.8,11.7,9.1,7,5.4,4.1,3.1,2.3,1.7,-,-,-,-
AT,ForAWS,AA,AT21,HP,E,con,2,7.6,12.4,15.5,16.9,17.2,16.6,15.5,14.1,12.6,11.2,9.8,8.4,7.3,6.2,5.3,-,-,-,-
AT,ForAWS,AA,AT21,HS,E,con,2,7.6,12.4,15.5,16.9,17.2,16.6,15.5,14.1,12.6,11.2,9.8,8.4,7.3,6.2,5.3,-,-,-,-
AT,ForAWS,AA,AT22,HP,E,con,0.7,6.1,12.4,15,14.3,11.9,9.1,6.7,4.7,3.3,2.3,1.5,1.1,0.7,0.5,0.3,-,-,-,-
AT,ForAWS,AA,AT31,HP,E,con,2.2,9.6,16.3,20.4,22,21.8,20.4,18.5,16.2,14,11.9,10,8.4,6.9,5.7,4.7,-,-,-,-
AT,ForAWS,AA,AT32,HP,E,con,2.7,20.4,36.5,38.7,32.4,23.9,16.5,10.9,7.1,4.5,2.8,1.8,1.1,0.7,0.4,0.3,-,-,-,-
AT,ForAWS,AA,AT33,HP,E,con,6.9,12.4,14.3,14.8,14.5,13.7,12.7,11.6,10.4,9.4,8.3,7.4,6.5,5.7,5,4.4,-,-,-,-
AT,ForAWS,AA,AT33,HS,E,con,6.9,12.4,14.3,14.8,14.5,13.7,12.7,11.6,10.4,9.4,8.3,7.4,6.5,5.7,5,4.4,-,-,-,-
AT,ForAWS,AA,AT34,HP,E,con,6,15.6,21.6,24.5,25.5,25.2,24,22.3,20.4,18.4,16.4,14.5,12.8,11.2,9.8,8.5,-,-,-,-
AT,ForAWS,FS,AT11,HP,E,broad,4.2,8.5,10,10.1,9.6,8.7,7.7,6.7,5.7,4.8,4.1,3.4,2.9,2.4,2,1.6,-,-,-,-
AT,ForAWS,FS,AT12,HP,E,broad,2.5,9.9,14.1,14.6,12.9,10.6,8.2,6.2,4.5,3.3,2.4,1.7,1.2,0.9,0.6,0.4,-,-,-,-
AT,ForAWS,FS,AT12,HS,E,broad,2.5,9.9,14.1,14.6,12.9,10.6,8.2,6.2,4.5,3.3,2.4,1.7,1.2,0.9,0.6,0.4,-,-,-,-
AT,ForAWS,FS,AT21,HP,E,broad,0.2,1.3,3,4.7,6.2,7.3,8.1,8.6,8.7,8.6,8.4,7.9,7.5,6.9,6.4,5.8,-,-,-,-
AT,ForAWS,FS,AT21,HS,E,broad,0.2,1.3,3,4.7,6.2,7.3,8.1,8.6,8.7,8.6,8.4,7.9,7.5,6.9,6.4,5.8,-,-,-,-
AT,ForAWS,FS,AT22,HP,E,broad,3.3,6.3,6.8,6.4,5.5,4.7,3.8,3.1,2.4,1.9,1.5,1.2,0.9,0.7,0.6,0.4,-,-,-,-
AT,ForAWS,FS,AT22,HS,E,broad,3.3,6.3,6.8,6.4,5.5,4.7,3.8,3.1,2.4,1.9,1.5,1.2,0.9,0.7,0.6,0.4,-,-,-,-
AT,ForAWS,FS,AT31,HP,E,broad,2.2,6.2,8.5,9.4,9.4,8.8,8,7.1,6.1,5.2,4.4,3.7,3.1,2.6,2.1,1.8,-,-,-,-
AT,ForAWS,FS,AT31,HS,E,broad,2.2,6.2,8.5,9.4,9.4,8.8,8,7.1,6.1,5.2,4.4,3.7,3.1,2.6,2.1,1.8,-,-,-,-
AT,ForAWS,FS,AT32,HP,E,broad,1.5,6.3,9.9,11,10.4,8.9,7.3,5.7,4.4,3.3,2.5,1.8,1.4,1,0.7,0.5,-,-,-,-
AT,ForAWS,FS,AT32,HS,E,broad,1.5,6.3,9.9,11,10.4,8.9,7.3,5.7,4.4,3.3,2.5,1.8,1.4,1,0.7,0.5,-,-,-,-
AT,ForAWS,FS,AT33,HP,E,broad,1.5,6.9,10.5,11,9.8,7.9,6.1,4.5,3.3,2.3,1.6,1.1,0.8,0.6,0.4,0.3,-,-,-,-
AT,ForAWS,FS,AT33,HS,E,broad,1.5,6.9,10.5,11,9.8,7.9,6.1,4.5,3.3,2.3,1.6,1.1,0.8,0.6,0.4,0.3,-,-,-,-
AT,ForAWS,FS,AT34,HP,E,broad,1.9,3.9,5.1,5.8,6.2,6.3,6.4,6.3,6.1,5.9,5.6,5.4,5.1,4.8,4.5,4.2,-,-,-,-
AT,ForAWS,FS,AT34,HS,E,broad,1.9,3.9,5.1,5.8,6.2,6.3,6.4,6.3,6.1,5.9,5.6,5.4,5.1,4.8,4.5,4.2,-,-,-,-
AT,ForAWS,LD,AT11,HP,E,con,0.4,2.7,5.9,8.8,10.6,11.6,11.7,11.3,10.5,9.5,8.4,7.4,6.3,5.4,4.6,3.9,-,-,-,-
AT,ForAWS,LD,AT12,HP,E,con,4.3,9.1,10.9,11.3,10.8,9.9,8.9,7.8,6.7,5.7,4.9,4.1,3.5,2.9,2.4,2,-,-,-,-
AT,ForAWS,LD,AT21,HP,E,con,1.8,6.8,10.7,12.5,12.8,12,10.8,9.3,7.8,6.5,5.3,4.3,3.5,2.8,2.2,1.8,-,-,-,-
AT,ForAWS,LD,AT21,HS,E,con,1.8,6.8,10.7,12.5,12.8,12,10.8,9.3,7.8,6.5,5.3,4.3,3.5,2.8,2.2,1.8,-,-,-,-
AT,ForAWS,LD,AT22,HP,E,con,1.6,5.2,7.3,7.8,7.4,6.6,5.6,4.6,3.7,2.9,2.3,1.8,1.4,1.1,0.8,0.6,-,-,-,-
