country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,AgeCL_1,AgeCL_2,AgeCL_3,AgeCL_4,AgeCL_5,AgeCL_6,AgeCL_7,AgeCL_8,AgeCL_9,AgeCL_10,AgeCL_11,AgeCL_12,AgeCL_13,AgeCL_14,AgeCL_15,AgeCL_16,AgeCL_17,AgeCL_18,AgeCL_19,AgeCL_20
AT,ForAWS,AA,AT12,HP,E,con,13.4,26.8,88,173.8,265.2,348.7,418.3,473,514.4,544.9,567,582.9,594.1,602.1,607.7,611.6,614.3,616.3,617.6,618.5
AT,ForAWS,AA,AT21,HP,E,con,16.1,32.2,105.5,208.5,318.2,418.4,501.9,567.6,617.3,653.9,680.4,699.4,712.9,722.5,729.2,733.9,737.2,739.5,741.1,742.2
AT,ForAWS,AA,AT21,HS,E,con,7.3,14.6,48,94.8,144.6,190.2,228.2,258,280.6,297.2,309.3,317.9,324.1,328.4,331.4,333.6,335.1,336.1,336.9,337.4
AT,ForAWS,AA,AT22,HP,E,con,17.9,35.8,117.3,231.7,353.5,464.9,557.7,630.7,685.8,726.5,756,777.1,792.1,802.7,810.2,815.4,819.1,821.7,823.5,824.7
AT,ForAWS,AA,AT31,HP,E,con,20.1,40.2,131.9,260.6,397.7,523,627.4,709.5,771.6,817.3,850.5,874.3,891.2,903.1,911.5,917.4,921.5,924.4,926.4,927.8
AT,ForAWS,AA,AT32,HP,E,con,16.1,32.2,105.5,208.5,318.2,418.4,501.9,567.6,617.3,653.9,680.4,699.4,712.9,722.5,729.2,733.9,737.2,739.5,741.1,742.2
AT,ForAWS,AA,AT33,HP,E,con,16.1,32.2,105.5,208.5,318.2,418.4,501.9,567.6,617.3,653.9,680.4,699.4,712.9,722.5,729.2,733.9,737.2,739.5,741.1,742.2
AT,ForAWS,AA,AT33,HS,E,con,9,17.9,58.6,115.8,176.8,232.5,278.9,315.3,342.9,363.3,378,388.6,396.1,401.4,405.1,407.7,409.6,410.8,411.7,412.4
AT,ForAWS,AA,AT34,HP,E,con,17.9,35.8,117.3,231.7,353.5,464.9,557.7,630.7,685.8,726.5,756,777.1,792.1,802.7,810.2,815.4,819.1,821.7,823.5,824.7
AT,ForAWS,FS,AT11,HP,E,broad,16.6,33.1,84.7,145.2,202.8,251.8,290.8,320.4,342.4,358.3,369.7,377.9,383.6,387.6,390.5,392.4,393.8,394.8,395.5,395.9
