country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,Avg stock,Net stock change,,
BE,?,FS,BE20,C,U,broad,125.8,3.9,,
BE,?,FS,BE20,H,U,broad,173.4,5.4,,
BE,?,FS,BE30,C,U,broad,125.8,3.9,,
BE,?,FS,BE30,H,U,broad,173.4,5.4,,
BE,?,FS_QR,BE20,C,U,broad,154.4,3.8,,
BE,?,FS_QR,BE20,H,U,broad,172.7,4.3,,
BE,?,FS_QR,BE30,C,U,broad,154.4,3.8,,
BE,?,FS_QR,BE30,H,U,broad,172.7,4.3,,
BE,?,OB,BE20,C,U,broad,118.3,6.9,,
BE,?,OB,BE20,H,U,broad,139.4,8.1,,
BE,?,OB,BE30,C,U,broad,118.3,6.9,,
BE,?,OB,BE30,H,U,broad,139.4,8.1,,
BE,?,OB_N,BE20,C,U,broad,130.6,4.3,,
BE,?,OB_N,BE20,H,U,broad,141.4,4.7,,
BE,?,OB_N,BE30,C,U,broad,130.6,4.3,,
BE,?,OB_N,BE30,H,U,broad,141.4,4.7,,
BE,?,QR,BE20,C,U,broad,121,2.7,,
BE,?,QR,BE20,H,U,broad,142.1,3.2,,
BE,?,QR,BE30,C,U,broad,121,2.7,,
BE,?,QR,BE30,H,U,broad,142.1,3.2,,
ES,?,FS,?,H,U,broad,144.2,1.5,,
ES,?,OB,?,H,U,broad,66.8,0.8,,
ES,?,OC,?,H,U,con,101.1,3.2,,
ES,?,PH,?,H,U,con,29.8,0.6,,
ES,?,PR,?,H,U,con,162.2,7,,
ES,?,PS,?,H,U,con,111.3,2.1,,
ES,?,QI,?,H,U,broad,16.3,0.2,,
ES,?,QP,?,H,U,broad,40,0.6,,
GR,?,AA,?,H,U,con,39.9,1.2,,
GR,?,CS,?,H,U,broad,35.9,1.1,,
GR,?,FS,?,H,U,broad,35.9,1.1,,
GR,?,OB,?,H,U,broad,35.9,1.1,,
GR,?,PA,?,H,U,con,39.9,1.2,,
GR,?,PN,?,H,U,con,39.9,1.2,,
GR,?,PO,?,H,U,broad,35.9,1.1,,
GR,?,QI,?,H,U,broad,35.9,1.1,,
HR,?,MB,?,H,U,broad,234.8,4.6,,
HR,?,MC,?,H,U,con,234.8,4.6,,
HR,?,OB,?,H,U,broad,149.5,3.4,,
HR,?,OC,?,H,U,con,147.5,3.7,,
IT,?,AA,AA,H,U,con,344.4,4.2,,
IT,?,AA,Ab,H,U,con,344.4,4.2,,
IT,?,AA,Ba,H,U,con,160,1.8,,
IT,?,AA,Cal,H,U,con,227,4.4,,
IT,?,AA,ER,H,U,con,592.5,5.8,,
IT,?,AA,FVG,H,U,con,252.1,2.6,,
IT,?,AA,Li,H,U,con,377.5,5.9,,
IT,?,AA,Lo,H,U,con,392.6,5.7,,
IT,?,AA,Mo,H,U,con,254.5,2.5,,
IT,?,AA,Pi,H,U,con,308.6,2.8,,
IT,?,AA,Tn,H,U,con,479.5,5.1,,
IT,?,AA,To,H,U,con,426.7,5,,
IT,?,AA,Va,H,U,con,344.4,4.2,,
IT,?,AA,Ve,H,U,con,317.1,5,,
IT,?,CS,AA,H,U,broad,750.7,12,,
