geo,siec,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AL,C0000X0350-0370,7322.021,4361.7,1105.261,563.238,462.074,218.733,308.961,106.633,133.974,325.366,199.594,232.404,169.518,174.987,174.987,147.645,147.645,147.645,191.392,1168.818,1289.769,1616.273,898.126,779.266,1005.406,1094.259,580.819,1432.22,2780.662,1436.33,1752.246,2640.835,1668.153,1678.545,
AT,C0000X0350-0370,47637.303,49906.061,38789.922,34903.572,35553.956,40439.562,40487.151,42901.428,37795.484,37001.957,41867.716,43324.748,44270.042,47087.309,46307.572,47175.307,46526.913,45011.991,44570.655,33364.168,39350.484,40500.988,37740.112,38574.699,35465.963,37509.084,35048.716,36155.089,31860.959,33553.374,28743.6,29721.264,28861.196,27944.581,27227.136
BA,C0000X0350-0370,,,,,,,,,,,,,,,,,,,,,,,,,42541.546,42047.269,47820.274,48714.74,49195.803,45450.974,46632.505,46195.851,45070.809,40589.603,
BE,C0000X0350-0370,122895.823,116954.79,106897.047,98761.461,104430.108,100755.71,96139.27,92903.373,93804.773,82246.844,93250.03,86303.311,74593.685,69970.045,68281.75,60168.639,57594.378,51384.188,53009.36,36463.253,44044.886,40764.586,37630.796,41438.68,40430.737,39834.838,36816.636,35703.485,35826.162,35478.985,27502.504,30282.238,31837.096,27300.743,30580.317
BG,C0000X0350-0370,101703.14,89019.006,87666.835,95599.152,88570.98,88547.568,89401.253,92268.631,86135.549,76054.229,74591.874,84504.549,76526.621,85645.096,83558.444,80431.249,81180.774,91691.414,87051.092,74616.445,80691.234,94129.493,80421.453,69159.23,73935.161,76844.103,66274.58,71207.706,63876.66,59050.854,48382.338,61336.381,73013.067,43201.518,35806.411
CZ,C0000X0350-0370,365888.66,335297.802,300456.882,285881.134,265990.087,263912.403,262460.353,269339.445,247029.559,213842.913,250976.514,245826.1,241605.797,244523.645,243630.362,235380.78,243541.828,247290.615,228848.485,204785.904,219190.321,212838.43,201002.605,200923.005,185755.248,190669.319,192521.677,184191.607,183931.762,165050.373,143029.252,150113.591,156478.901,124696.868,111509.274
DE,C0000X0350-0370,1494894.455,1333814.276,1213885.114,1140862.889,1113204.25,1065440.852,1054546.749,1010590.709,986306.159,938849.353,986547.935,1006049.384,978136.203,988434.204,993461.517,951816.254,1001874.282,1001448.724,931656.15,838192.684,919650.714,906743.078,929453.701,948555.903,925803.274,923593.35,897031.618,829317.828,811058.673,656688.359,519337.671,627036.7,646886.425,487943.487,439250.628
DK,C0000X0350-0370,70799.346,96013.129,79630.857,83307.607,89049.929,75556.437,103662.011,77809.981,65929.405,53923.133,46358.226,48908.62,48700.932,65894.048,50732.508,43192.308,63697.534,54098.988,46588.208,46560.363,44297.983,37616.944,28700.094,36908.328,29466.583,21139.269,23315.516,17861.906,18520.525,11268.613,9533.273,13025.799,11865.84,7736.236,5166.192
EE,C0000X0350-0370,2534.792,2441.007,1446.91,692.208,382.778,408.611,429.123,333.236,293.612,425.626,474.745,641.437,231.983,102.996,160.43,129.51,266.783,663.967,703.923,513.867,278.421,338.184,284.517,325.556,390.557,155.375,100.708,142.917,194.722,164.321,-31.698,-104.478,-52.842,-4.786,5.542
EL,C0000X0350-0370,93810.837,90350.684,95092.393,94968.553,98579.222,97565.203,92443.538,99335.748,103766.178,99573.854,105101.347,108251.04,104440.445,103574.544,105912.171,104117.431,98010.594,102762.544,96779.576,97985.735,91447.074,91724.183,94608.216,81189.074,77770.77,65202.124,50817.102,56017.469,53080.12,37170.504,21293.6,19898.021,18171.522,13712.914,9370.292
